% Filename : LM_Channel_0180_mean_vel_fluc_prof.dat 
% 
% Description : Profiles of the mean velocity and pressure and the variance and covariance of velocity components 
%               This entails the columns of the following files of the original database:
%                 - LM_Channel_0180_mean_prof.dat 
%                 - LM_Channel_0180_vel_fluc_prof.dat 
% 
% Total number of data points  : 96
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mnlee@sandia.gov) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 1024 
%  Grid (wall-normal)      ny = 192 
%  Grid (spanwise)         nz = 512 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 3.50000e-04 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 6.37309e-02 
%  Re_tau              Re_tau =  182.088 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% Files noted above merged on 11/06/2024
% 
% 
% 
% Remark: 
% 
%      y/delta : Grid point in wall-normal direction, Normalized by channel half width 
%      y^+     : Grid point in wall-normal direction 
%      U       : Mean profile of streamwise velocity 
%    dU/dy     : Derivative of U in wall-normal direction 
%      W       : Mean profile of spanwise velocity 
%      P       : Mean profile of pressure 
%      u'u'    : Variance of u 
%      v'v'    : Variance of v 
%      w'w'    : Variance of w 
%      u'v'    : Covariance of u and v 
%      u'w'    : Covariance of u and w 
%      v'w'    : Covariance of v and w 
%       k      : Turbulent kinetic energy, k = 0.5*(u'u' + v'v' + w'w')
% 
% *   Estimated standard deviations of datasets in this file are in the file: LM_Channel_0180_vel_fluc_stdev.dat 
% 
% **  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% *** u'w' and v'w' should be zero due to (statistical) symmetries in the flow. 
%     These are reported here none-the-less as an indicator of the quality of the statistics.  
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                   U                      dU/dy                      W                        P                       u'u'                     v'v'                     w'w'                     u'v'                     u'w'                     v'w'                       k            
%----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
6.781534516520057e-01    1.234838708169564e+02    1.761871616470093e+01    2.048196237662670e-02   -5.098357858377094e-03   -4.781935547339072e-01  1.149547070222213e+00    4.781935547339069e-01    5.940803576887728e-01   -3.018390210760299e-01    1.362752110767661e-03   -4.246268741347440e-05    1.110910491322447e+00
6.941075806428396e-01    1.263889324936345e+02    1.767708464356820e+01    1.969875990390967e-02   -5.248868144978149e-03   -4.685304758771239e-01  1.107995314317987e+00    4.685304758771236e-01    5.751185976633527e-01   -2.866404574479778e-01    1.206131542830833e-03   -3.236460492895014e-05    1.075822193929232e+00
7.101481636479068e-01    1.293097364426540e+02    1.773344773526569e+01    1.889254083868287e-02   -5.425236269386287e-03   -4.592791073977228e-01  1.067285373479034e+00    4.592791073977226e-01    5.566262963414629e-01   -2.713932386017219e-01    1.132773917800305e-03   -3.358728554397998e-05    1.041595388609110e+00
7.262706671361236e-01    1.322454571606346e+02    1.778770118111745e+01    1.806571729389294e-02   -5.630366626965221e-03   -4.504741328256231e-01  1.027491885659801e+00    4.504741328256229e-01    5.386514966316802e-01   -2.561008322409477e-01    1.129363177421160e-03   -4.887482312935976e-05    1.008308757558552e+00
7.424705344233169e-01    1.351952649282874e+02    1.783974484741559e+01    1.721694419729245e-02   -5.852695112848649e-03   -4.421361366670502e-01  9.887267527821932e-01    4.421361366670500e-01    5.212969522249828e-01   -2.407598510283101e-01    1.183021266555332e-03   -7.882475405950803e-05    9.760799208371130e-01
7.587431869600734e-01    1.381583260449167e+02    1.788946716269731e+01    1.633995417800498e-02   -6.070039998496535e-03   -4.342794550312027e-01  9.510615443652650e-01    4.342794550312024e-01    5.046851337560493e-01   -2.253727999477634e-01    1.276354312916126e-03   -1.229987910536791e-04    9.450130665762584e-01
7.750840256257712e-01    1.411338030640490e+02    1.793674125922056e+01    1.543116892699840e-02   -6.262211370476021e-03   -4.269177170998433e-01  9.145368010196306e-01    4.269177170998431e-01    4.888995187175341e-01   -2.099468301088722e-01    1.394888406195720e-03   -1.789588531069746e-04    9.151770184185039e-01
7.914884320284229e-01    1.441208550301184e+02    1.798143758042809e+01    1.449079623841332e-02   -6.420037427265503e-03   -4.200604836495100e-01  8.792637294757265e-01    4.200604836495097e-01    4.740224607697816e-01   -1.944834291812943e-01    1.527052282704528e-03   -2.371562953891557e-04    8.866733369475089e-01
8.079517698099662e-01    1.471186377161457e+02    1.802342499001055e+01    1.351574101870257e-02   -6.539532933776564e-03   -4.137114195117815e-01  8.454806363459527e-01    4.137114195117813e-01    4.601442053661369e-01   -1.789831933863727e-01    1.656425676713007e-03   -2.821620697812795e-04    8.596681306119355e-01
8.244693859566329e-01    1.501263038623408e+02    1.806255782388764e+01    1.249962699956622e-02   -6.615992312584362e-03   -4.078762747892918e-01  8.134645895824929e-01    4.078762747892916e-01    4.473034358822361e-01   -1.634553752101731e-01    1.774145641842288e-03   -3.020770671457589e-04    8.343221501270103e-01
8.410366121140243e-01    1.531430034155628e+02    1.809867785606787e+01    1.144069758861199e-02   -6.647977013649738e-03   -4.025664827829037e-01  7.834469291993515e-01    4.025664827829036e-01    4.354757948077720e-01   -1.479071959121091e-01    1.885595994447264e-03   -2.933843860174539e-04    8.107446033950136e-01
8.576487659065226e-01    1.561678837695700e+02    1.813163300638841e+01    1.034331287508397e-02   -6.639858128282862e-03   -3.977920048104153e-01  7.556501883031875e-01    3.977920048104151e-01    4.246495955335293e-01   -1.323373990722959e-01    1.993686509819088e-03   -2.603081673841108e-04    7.890458943235659e-01
8.743011522606657e-01    1.592000900059901e+02    1.816129140022526e+01    9.214818360577626e-03   -6.601503627332695e-03   -3.935575537111213e-01  7.303066895575522e-01    3.935575537111211e-01    4.148564022929724e-01   -1.167442645221760e-01    2.081579626641147e-03   -2.164475673672582e-04    7.693603227808229e-01
8.909890647321099e-01    1.622387651359457e+02    1.818754492661940e+01    8.061197460693330e-03   -6.545110592620622e-03   -3.898636529269432e-01  7.076353547556795e-01    3.898636529269431e-01    4.061566145159249e-01   -1.011321307152500e-01    2.118496532859059e-03   -1.752716317853477e-04    7.518278110992738e-01
9.077077868358066e-01    1.652830503422634e+02    1.821029861421122e+01    6.883399460037712e-03   -6.478175357526975e-03   -3.867052807121921e-01  6.878334025756789e-01    3.867052807121917e-01    3.986304651355703e-01   -8.551772378290363e-02    2.085369713259786e-03   -1.416438682597360e-04    7.365845742117205e-01
9.244525933790173e-01    1.683320852222006e+02    1.822945651693691e+01    5.678660658819131e-03   -6.407169071616774e-03   -3.840752847731106e-01  6.710481862161358e-01    3.840752847731103e-01    3.923507074572275e-01   -6.992134223657946e-02    1.987897193073528e-03   -1.148241253355930e-04    7.237370892232368e-01
9.412187517967892e-01    1.713850080306200e+02    1.824491720935027e+01    4.445470403465291e-03   -6.348667718007818e-03   -3.819697062910453e-01  6.573929167875595e-01    3.819697062910452e-01    3.873618049970531e-01   -5.435220112394170e-02    1.855609279637495e-03   -9.247176522816304e-05    7.133622140378290e-01
9.580015234895140e-01    1.744409559235437e+02    1.825658665612607e+01    3.188700460279192e-03   -6.321725226101325e-03   -3.803884248621027e-01  6.469951284853208e-01    3.803884248621026e-01    3.836717611745724e-01   -3.880604703022857e-02    1.725743121110518e-03   -7.086048944475363e-05    7.055276572609979e-01
9.747961651621934e-01    1.774990652020178e+02    1.826439641260667e+01    1.917301567485742e-03   -6.323584599323224e-03   -3.793335147711629e-01  6.400011433523356e-01    3.793335147711628e-01    3.812475507865301e-01   -2.327608979168133e-02    1.628870052408131e-03   -4.552829175292695e-05    7.002911044550142e-01
9.915979301650304e-01    1.805584715562184e+02    1.826830831045079e+01    6.395405645203566e-04   -6.332572540132570e-03   -3.788062845778147e-01  6.364999168940690e-01    3.788062845778146e-01    3.800444565791506e-01   -7.757293224883197e-03    1.578921969181824e-03   -1.580629258953754e-05    6.976753290255171e-01
